percent_metric,study_cluster,study,year,n_subjects,metric,mean,sd,level,n_male,age,age_sd,vo2max,vo2max_sd,hrmax,hrmax_sd,Notes
pct_hrmax,Weltman 1990,Weltman 1990,1990,31,LT2,94.75,5.379,recreational,31,29.9,9.1,63.5,6.4,187.4,9.9,
pct_hrmax,Quittmann 2023,Quittmann 2023 (MEN),2023,29,LT2,93.1,2.8,trained,29,24.2,3.4,63.2,4.5,187,9,Inclusion criteria was 5k of 22min (female) or 20 min (male)
pct_hrmax,Quittmann 2023,Quittmann 2023 (WOMEN),2023,15,LT2,94.5,2.5,trained,0,27.1,4.7,55.4,3.9,186,13,
pct_hrmax,Fleckenstein 2023,Fleckenstein 2023,2023,15,LT1,88.22,2.2,trained,10,18.6,3.3,59.3,5.9,201,10,"Fixed threshold of 2.0 mM, they labeled it ""vLT2"" but the 2 means 2.0 mM"
pct_hrmax,Fernandes Nascimento 2017,Fernandes Nascimento 2017,2017,19,LT1,80.8,8,recreational,19,30.4,4.1,NA,NA,192,6,No VO2 testing in this study
pct_hrmax,Fernandes Nascimento 2017,Fernandes Nascimento 2017,2017,19,LT2,90.2,5,recreational,19,30.4,4.1,NA,NA,192,6,No VO2 testing in this study
pct_hrmax,Denis 2021,Denis 2021,2021,19,LT1,81.69,5.38,recreational,15,45.2,8.3,50.7,5.1,173.84,12.76,
pct_hrreserve,Crezeuela-Espejo et al 2018,Crezeuela-Espejo et al 2018,2018,22,VT1,71,6.8,trained,22,25.9,8,60.2,4.3,NA,NA,
pct_hrreserve,Crezeuela-Espejo et al 2018,Crezeuela-Espejo et al 2018,2018,22,MLSS,81,4.5,trained,22,25.9,8,60.2,4.3,NA,NA,
pct_hrreserve,Weltman 1990,Weltman 1990,1990,31,LT1,82.58,6.79,recreational,31,29.9,9.1,63.5,6.4,187.4,9.9,
pct_hrreserve,Weltman 1990,Weltman 1990,1990,31,LT2,91.72,6.87,recreational,31,29.9,9.1,63.5,6.4,187.4,9.9,
